lga,anpafpr_before,anpafpr_after,silent_wards_before,silent_wards_after
Zaria,0.0,41.8,4.2,1.9
Giwa,30.4,23.1,4.2,1.9
Kubau,25.6,23.3,0.0,1.9
Zango_Kataf,14.6,21.1,5.3,2.9
LGA_5,28.3,61.2,4.2,3.9
LGA_6,14.9,27.9,6.4,0.9
LGA_7,13.2,35.4,7.5,2.9
LGA_8,13.2,27.8,0.9,4.9
LGA_9,61.3,79.5,5.3,1.9
LGA_10,35.3,55.1,2.0,0.0
LGA_11,9.3,22.6,6.4,0.9
LGA_12,29.4,65.0,6.4,0.0
LGA_13,22.4,49.1,4.2,0.9
LGA_14,0.0,16.1,3.1,2.9
LGA_15,2.3,25.7,5.3,0.9
LGA_16,24.0,45.4,5.3,4.9
LGA_17,57.2,101.2,2.0,1.9
LGA_18,13.3,23.1,0.9,4.9
LGA_19,8.2,22.0,3.1,1.9
LGA_20,19.6,25.4,6.4,1.9
LGA_21,7.4,23.6,4.2,4.9
LGA_22,12.2,28.6,2.0,0.0
LGA_23,17.2,29.9,2.0,6.0
